epoch;acc;loss;val_acc;val_loss
0;0.8961249999701977;0.2356405168492347;0.9626000005006791;0.09123354643583298
1;0.9527250021696091;0.11884680421091616;0.9614000016450882;0.09592992647551
2;0.9627750048041344;0.0956374730495736;0.973600001335144;0.07127464897930622
3;0.9669750064611435;0.08449156546965242;0.9683999997377396;0.08280371252447366
4;0.971450008302927;0.07356090428540484;0.9734000015258789;0.06532450094120577
5;0.9746250098943711;0.0645709426724352;0.9770000022649765;0.06493910038785543
6;0.9769500103592873;0.05832156135002151;0.9766000044345856;0.0647530603868654
7;0.9790750105679035;0.053662532478338104;0.9768000042438507;0.06595270129619166
8;0.9807750117778778;0.0487770837219432;0.9742000019550323;0.07771631216819515
9;0.9826000095903873;0.044546141964383425;0.9758000034093857;0.06762185222731204
10;0.9840750096738339;0.040043679295340556;0.9738000011444092;0.07634422596078366
11;0.9872500100731849;0.03481497209926601;0.9798000055551529;0.06621883849315054
12;0.9890500092506409;0.030015201144851743;0.9788000041246414;0.06812372677959502
13;0.9897000081837177;0.028483431731292513;0.9772000050544739;0.06763447295088554
14;0.9902250076830387;0.027667859317152762;0.9750000029802323;0.07597452512767632
15;0.9909250076115131;0.024679626025317702;0.9782000041007995;0.06918203159491895
16;0.992325006723404;0.02281629495235393;0.9790000039339065;0.06803467996167456
17;0.9915500074625015;0.02256913225282915;0.9790000057220459;0.06739145371757331
18;0.9918250073492527;0.021743994064308936;0.9790000039339065;0.07075082636136358
19;0.9917750068008899;0.02091968565568095;0.9798000055551529;0.06820209021509072
20;0.9924250070750713;0.020697897942009148;0.9808000057935715;0.06784662184021727
21;0.9930750060081482;0.01995519477670314;0.9792000061273575;0.06857779405811015
22;0.9936500060558319;0.019097689101472498;0.9794000059366226;0.06983910414379352
23;0.9936750058829784;0.019070069397857877;0.9796000057458878;0.07002355273260036
24;0.9933500063419342;0.01873326854489278;0.9792000031471253;0.07111282167752506
25;0.9935500055551529;0.01858121558543644;0.9798000055551529;0.06875404801969126
26;0.9938500057160854;0.01788000426546205;0.9796000045537948;0.07004049080031109
27;0.9940000055730343;0.01766464229382109;0.9802000063657761;0.0687236290414512
28;0.9934750059247017;0.018125982633355308;0.9798000067472458;0.06968801151972003
29;0.9938000054657459;0.018351018096436748;0.9794000047445297;0.07003987479070929
30;0.9935250060260296;0.018850973424996482;0.9798000049591065;0.06900577656891983
31;0.993775005787611;0.017690728476591176;0.9802000057697297;0.06852703057411418
32;0.9937000058591365;0.017944261686789104;0.9798000061511993;0.06906594310999935
33;0.993700005710125;0.017607719401858048;0.9796000063419342;0.06924656601320749
34;0.9934750060737133;0.01836217291864159;0.9790000051259995;0.06982426912622032
35;0.9936500056087971;0.018122522182457034;0.9802000057697297;0.068565309595906
36;0.9939500057697296;0.017034174454311143;0.9798000061511993;0.06882438805503625
37;0.9940250056982041;0.017341967612155715;0.9802000057697297;0.06864651510069962
38;0.9943500050902366;0.01777196865499718;0.9800000059604644;0.06890706847359979
39;0.9945250052213669;0.016447744187171338;0.9800000059604644;0.069015759025242
